year,month,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc
2001,10,-0.0362127,-0.0387096,-0.0580645,-0.0580645,-0.0580645
2001,11,-0.1262071,-0.1179571,-0.1352687,-0.1561022,-0.1436021
2001,12,-0.0302501,-0.0436559,-0.0740862,-0.1019626,-0.0994625
2002,1,-0.0008872,-0.0083871,-0.0212903,-0.032258,-0.0319355
2002,2,0.0233872,0.0187097,0.0187097,0.0233872,0.0280647
2002,3,-0.0108361,-0.0188708,-0.0314515,-0.0314517,-0.0335484
2002,4,-0.0150039,-0.026129,-0.0435483,-0.0435483,-0.0464518
2002,5,0.0052016,-0.016129,-0.0322583,-0.0443547,-0.0483871
2002,6,0.0012484,-0.0055377,-0.0052419,-0.0098119,-0.0107796
2002,7,0,-0.0083334,0.0125,0.0041666,0.0041666
2002,8,0.0263917,-0.0245161,-0.0490322,-0.0980647,-0.1195161
2002,9,0.0213349,-0.0166504,-0.0333011,-0.066602,-0.0824838
2002,10,0.0153334,-0.0038333,-0.0076666,-0.0153334,-0.023
2002,11,-0.1666667,-0.0708334,-0.0583334,-0.0708332,-0.0749998
2002,12,-0.0333333,-0.0070698,-0.0010216,0.0035753,0.013387
2003,1,0.0009677,0.0058064,0.0087099,0.0130644,0.0169356
2003,2,0.0090322,0.0270967,0.0406451,0.0541935,0.0496774
2003,3,0.010762,-0.0090322,-0.0067742,0,-0.0067742
2003,4,0.013068,-0.0109677,-0.0082259,0,-0.0082259
2003,5,0.0311999,-0.0335484,-0.0670967,-0.0964515,-0.1216128
2003,6,0.033,0.0145483,0.0070968,0.0104516,0.0006127
2003,7,0.1080003,0.0840001,0.0799999,0.1159999,0.096
2003,8,0,0,-0.016129,-0.032258,-0.0516129
2003,9,0.0053599,0,-0.0113709,-0.0152419,-0.0333869
2003,10,0.0047147,-0.0012903,-0.0141129,-0.0123386,-0.0224195
2003,11,-0.0043547,-0.0087097,-0.078387,-0.1001613,-0.1175807
2003,12,0,0.0037096,0.0037096,0.0408065,0.0630646
2004,1,0.0006452,0.0019355,0.0154839,0.0380645,0.0535483
2004,2,0.0043547,0.004355,0.0958066,0.161129,0.213387
2004,3,0,-0.0025806,-0.030968,-0.0412905,-0.0516129
2004,4,0,-0.0024195,-0.0290322,-0.0387096,-0.0483871
2004,5,-0.0103688,-0.0045161,0.0045161,0.0090322,0.0180645
2004,6,-0.0012777,-0.0008171,-0.0005159,0.0001345,0.0014355
2004,7,-0.0048335,-0.0096667,-0.029,-0.0241666,-0.0145001
2004,8,0.0052373,0.0283799,0.0319355,0.0319355,0.0283873
2004,9,0.0021427,0.0082767,0.0080645,0.0080645,0.0049462
2004,10,0,-0.0066667,-0.01,-0.01,-0.0133333
2004,11,-0.00525,-0.0069931,-0.0139999,-0.0279999,-0.0350001
2004,12,-0.0075512,-0.0059001,-0.0147097,-0.0207098,-0.026613
2005,1,-0.0038288,-0.0020969,-0.0062904,-0.0062904,-0.0083871
2005,2,0,0,-0.0144641,-0.0192857,-0.0192857
2005,3,0,0.0032258,0.0220449,0.0299308,0.0331566
2005,4,0,0.0067742,0.0474193,0.0643549,0.0711291
2005,5,-0.0051732,0.0093548,0.0140324,0.0233872,0.032742
2005,6,-0.0005233,0.0011451,0.0028012,0.0032794,0.003758
2005,7,-0.0048335,0.0145001,0.0531664,0.0483334,0.0434999
2005,8,-0.0052307,-0.0074193,-0.0185483,-0.0185485,-0.022258
2005,9,0.0146806,0.0084193,-0.0009518,-0.002785,-0.0040753
2005,10,0.0285001,0.0190001,0.0095,0.0063334,0.0063334
2005,11,-0.0051801,0,0.01,0.01,0.0150001
2005,12,-0.0052772,-0.0030646,-0.0091934,-0.0183871,-0.0183871
2006,1,-0.0031714,-0.0011289,-0.0050001,-0.0104837,-0.0103226
2006,2,0.0048387,0.0241935,0.0241935,0.0338709,0.0387096
2006,3,0,0.003871,0.0070968,0.0077419,0.0083871
2006,4,0,0.026129,0.0479033,0.052258,0.056613
2006,5,0,0.0248387,0.0390322,0.046129,0.046129
2006,6,-0.0009999,0.0084946,0.0129678,0.0162044,0.0162041
2006,7,-0.0140002,-0.0233333,-0.0420001,-0.0373333,-0.0373333
2006,8,-0.0365264,-0.0270967,-0.0270967,-0.0232258,-0.0232258
2006,9,-0.0161498,-0.0079031,-0.0005701,0.0005591,0.0042257
2006,10,-0.0106227,-0.0011292,0.0115378,0.0104086,0.0156131
2006,11,-0.003871,-0.003871,-0.003871,-0.0077419,-0.0116129
2006,12,0,-0.0032258,-0.0096774,-0.0354838,-0.0387096
2007,1,-0.0001614,-0.0019355,-0.0053227,-0.0198388,-0.0219355
2007,2,-0.0048387,-0.0048387,0,-0.0096774,-0.0193551
2007,3,0,-0.005326,-0.0337095,-0.0408065,-0.0408065
2007,4,0,-0.0096838,-0.0612903,-0.0741935,-0.0741935
2007,5,-0.005223,0.0037096,0.0259676,0.0408065,0.0445163
2007,6,-0.0018167,0.0012903,0.0095322,0.0156934,0.0179839
2007,7,0,0,0.0045002,0.0135,0.0224998
2007,8,0.0052097,0,-0.0120969,-0.032258,-0.0403225
2007,9,-0.0854163,-0.0736668,-0.0830698,-0.0814087,-0.076844
2007,10,-0.1141396,-0.0953655,-0.1025753,-0.09343,-0.0846076
2007,11,-0.024184,0.0290322,0.0677419,0.0870969,0.0967741
2007,12,0.0210068,0.0203228,0.0846775,0.0101612,-0.0406451
2008,1,-0.1474192,-0.0390322,0.0006452,-0.0174193,-0.0290322
2008,2,-0.4225874,-0.2062905,-0.1753225,-0.1227419,-0.0803225
2008,3,0.0430794,0.0338709,0.0112903,0.0045161,0.0022581
2008,4,0.0501437,0.0386291,0.0108762,0.0028172,0.0009084
2008,5,-0.0628333,-0.0725,-0.0821664,-0.0773332,-0.0531664
2008,6,-0.0019999,0.003,-0.006,-0.0039999,-0.003
2008,7,-0.0079999,0.0120001,-0.0240002,-0.016,-0.0120001
2008,8,-0.0025959,-0.026129,-0.0217741,-0.0217743,-0.030484
2008,9,0.0531807,0.056129,0.0392742,0.0292742,0.0154839
2008,10,-0.0437317,0.0474272,0.0221775,0.0131452,0.0069356
2008,11,-0.0590034,-0.0474172,-0.0496776,-0.0756452,-0.0869355
2008,12,-0.0826683,-0.095489,-0.1522579,-0.1574194,-0.1574194
2009,1,-0.0768566,-0.0895209,-0.1440322,-0.1495161,-0.1495161
2009,2,0.004355,0,-0.0087097,-0.0130644,-0.0130644
2009,3,0,-0.0045161,-0.027097,-0.0270967,-0.0248387
2009,4,0.0003333,-0.0051508,-0.0322366,-0.03157,-0.027828
2009,5,0.0046668,0.0046668,0.0093336,0.0186667,0.0326667
2009,6,0,0,0.0081668,0.0128334,0.0186667
2009,7,0,0,0.0268331,0.0421665,0.0613332
2009,8,0,-0.0032258,-0.0096774,-0.0129032,-0.0129032
2009,9,-0.0013332,-0.0057743,-0.0306559,-0.0404301,-0.0430968
2009,10,-0.0036669,-0.0109999,-0.0696669,-0.0916667,-0.099
2009,11,-0.0051928,-0.008991,-0.0134997,-0.0179999,-0.0315001
2009,12,-0.0165772,-0.0035796,-0.0015001,0.0031612,0.0094032
2010,1,-0.0158062,-0.0024195,0.0016131,0.010484,0.0217743
2010,2,-0.0041938,0,0.0083871,0.0293548,0.0503225
2010,3,-0.0026684,-0.0051613,-0.0154839,-0.0232258,-0.0283871
2010,4,-0.0025015,-0.0058386,-0.0160165,-0.0232742,-0.0276129
2010,5,0,-0.0090001,-0.0134997,-0.0135,-0.0090001
2010,6,0.0013332,0,0.0026665,0.0013332,0.0013335
2010,7,0.0036669,0,0.0073333,0.0036666,0.0036666
2010,8,0.0026183,0,-0.0141935,-0.0248387,-0.0283871
2010,9,0.0010715,0.0016668,-0.0091395,-0.0134945,-0.0149462
2010,10,0,0.0033333,-0.0066667,-0.0066667,-0.0066667
2010,11,0.0077744,0.0046666,-0.0093336,-0.0046668,-0.0046668
2010,12,0.0005555,0.0003333,-0.0006666,-0.0032365,-0.0032365
2011,1,-0.0009675,-0.0009677,-0.000968,-0.0040324,-0.0069354
2011,2,-0.0040321,-0.0040321,-0.0040321,-0.0080645,-0.0201614
2011,3,0,0,0,0.0054839,0.0109677
2011,4,0,0,0,0.0045161,0.0090322
2011,5,0,0,0,0,0
2011,6,0,-0.0015001,0.0015001,0.0015001,0.0045002
2011,7,0,-0.0035,0.0035,0.0035,0.0105
2011,8,-0.0052233,-0.0037096,0.0037098,-0.0259678,-0.059355
2011,9,0.0009632,0.0053763,0.0196238,0.0126345,0.0010216
2011,10,0.0055599,0.0133333,0.0366664,0.0433333,0.0433333
2011,11,0,0.0096667,0.0096669,0.0096667,0.0145001
2011,12,0.0026417,0.0003333,0.0064621,0.0064623,0.006629
2012,1,0.0005393,0,0.000484,-0.0017741,-0.0040324
2012,2,-0.003871,0,-0.0116129,-0.0193548,-0.0270967
2012,3,0,0,0.0030646,0.0091934,0.0122581
2012,4,0,0,0.0019355,0.0058064,0.0077419
2012,5,0,0,0,0,0
2012,6,0.0027537,0.0036666,0.0073333,0.0073333,0.0073333
